name;steps;quess;cheater;game_length;game_time
Valevorst;1;25;1;00:00:02;16.01.2025 14:54:19
Kalev;1;97;1;00:00:03;16.01.2025 14:28:06
Kalevina;1;24;1;00:00:03;16.01.2025 14:33:12
Malev;1;99;1;00:00:03;16.01.2025 14:39:54
Malle1;1;85;1;00:00:03;16.01.2025 14:32:59
Petja;1;56;1;00:00:03;16.01.2025 14:21:36
Lammas all paremal nurgas;1;86;0;00:00:05;16.01.2025 09:08:00
Marko ootas;1;97;0;00:02:08;15.01.2025 22:39:54
Ikkaeitoimi;3;5;0;00:00:13;03.02.2025 16:36:05
Jällemina;5;3;0;00:00:09;03.02.2025 17:02:38
Marko;5;96;0;00:00:14;15.01.2025 22:36:05
Marko ausalt;8;37;0;00:00:18;15.01.2025 22:42:45
Kuningas;10;2;0;00:00:07;29.01.2025 18:06:13
Katsetus1;10;5;0;00:00:10;03.02.2025 18:27:06
Malle;10;67;0;00:00:14;16.01.2025 14:19:17
Kalevinmdada;11;6;0;00:00:12;16.01.2025 15:54:49
Ausaltküll;12;8;0;00:00:20;27.01.2025 15:50:24
Kalle';18;26;0;00:00:43;16.01.2025 14:34:00
Olensiin;35;7;0;00:00:15;03.02.2025 18:23:19
Ausalt ka;48;6;0;00:00:13;29.01.2025 18:09:56
Katsetus2;53;5;0;00:00:11;03.02.2025 18:28:06
Kontrollinkoguaeg;54;5;0;00:00:30;03.02.2025 18:24:47
gsgs;63;8;0;00:00:15;16.01.2025 15:56:13
gsd;66;7;1;00:00:20;16.01.2025 16:11:57
Villemikkasiin;69;11;0;00:00:27;27.01.2025 15:51:34
Katsetus3;88;9;0;00:00:20;03.02.2025 18:28:58
Mitteerti;98;8;0;00:00:24;27.01.2025 15:50:57
